epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3088,1.39401,2.67452,1.74697,0.00632,0.62171,0.24457,0.12326,1.49457,2.96251,1.84842,0.00048343,0.00048343,0.00048343
2,25.8385,1.3949,2.09474,1.72857,0.73029,0.22368,0.19861,0.0858,1.89002,2.4305,2.22531,0.000964056,0.000964056,0.000964056
3,37.3394,1.49664,2.10398,1.81644,0.73537,0.28673,0.2209,0.07865,1.93025,2.66717,2.6772,0.00142488,0.00142488,0.00142488
4,49.2421,1.50737,2.05428,1.78302,0.22298,0.29934,0.19748,0.0662,2.12009,2.62368,2.9347,0.00156798,0.00156798,0.00156798
5,61.0416,1.53417,1.98358,1.81498,0.39296,0.22697,0.18071,0.06312,2.19887,2.87254,2.93968,0.00153497,0.00153497,0.00153497
6,72.6843,1.52916,1.95955,1.83199,0.28452,0.33445,0.28389,0.1217,1.90917,2.82355,2.60388,0.00150197,0.00150197,0.00150197
7,82.4219,1.5213,1.84714,1.78981,0.35561,0.33553,0.22949,0.07879,2.04705,2.67595,2.8229,0.00146896,0.00146896,0.00146896
8,94.4752,1.46029,1.81232,1.76838,0.36852,0.39241,0.33453,0.14414,1.91173,2.03912,2.28692,0.00143595,0.00143595,0.00143595
9,106.713,1.503,1.74757,1.78274,0.45606,0.38962,0.36207,0.16349,1.78851,1.75677,2.14252,0.00140295,0.00140295,0.00140295
10,120.417,1.46295,1.64001,1.74529,0.3707,0.43092,0.39224,0.18518,1.74148,1.79905,2.15745,0.00136994,0.00136994,0.00136994
11,132.305,1.47619,1.65537,1.75474,0.33345,0.44079,0.31854,0.16342,1.66948,1.77656,2.08851,0.00133693,0.00133693,0.00133693
12,143.461,1.38402,1.56377,1.69961,0.39111,0.38702,0.35545,0.1581,1.81672,1.78873,2.15968,0.00130393,0.00130393,0.00130393
13,154.068,1.37454,1.53537,1.69977,0.82096,0.35855,0.39449,0.18658,1.66752,1.73479,2.08831,0.00127092,0.00127092,0.00127092
14,166.957,1.34933,1.56,1.67069,0.3333,0.36842,0.34714,0.18372,1.67264,1.66919,2.0719,0.00123791,0.00123791,0.00123791
15,181.969,1.3125,1.47134,1.64,0.38914,0.3464,0.39823,0.21113,1.6266,1.58785,2.01403,0.00120491,0.00120491,0.00120491
16,193.921,1.34424,1.55791,1.67643,0.45235,0.40236,0.42055,0.23052,1.6126,1.56477,1.92566,0.0011719,0.0011719,0.0011719
17,205.937,1.25839,1.41523,1.61664,0.87501,0.33558,0.41927,0.22151,1.66567,1.60094,1.9932,0.00113889,0.00113889,0.00113889
18,217.899,1.29687,1.41241,1.62919,0.46689,0.41447,0.44806,0.23825,1.58145,1.46327,1.9345,0.00110589,0.00110589,0.00110589
19,227.242,1.26911,1.36291,1.6149,0.45115,0.42434,0.42351,0.22527,1.61062,1.50297,1.92478,0.00107288,0.00107288,0.00107288
20,240.397,1.30756,1.4147,1.63023,0.39894,0.46003,0.4158,0.19229,1.7803,1.65143,2.10689,0.00103987,0.00103987,0.00103987
21,252.104,1.29431,1.39788,1.6466,0.9211,0.3687,0.42057,0.22657,1.65658,1.57908,2.0186,0.00100687,0.00100687,0.00100687
22,266.128,1.31828,1.3771,1.64062,0.43865,0.45395,0.45555,0.23788,1.5782,1.43969,1.91042,0.000973861,0.000973861,0.000973861
23,277.821,1.20169,1.29182,1.56258,0.88932,0.3934,0.44825,0.24927,1.51573,1.37844,1.8172,0.000940855,0.000940855,0.000940855
24,289.757,1.21015,1.27666,1.54874,0.40398,0.50329,0.44915,0.24367,1.57644,1.3719,1.90526,0.000907848,0.000907848,0.000907848
25,300.476,1.247,1.29896,1.59939,0.43973,0.46441,0.44342,0.25937,1.52369,1.30991,1.86569,0.000874842,0.000874842,0.000874842
26,310.448,1.18962,1.23818,1.55048,0.50555,0.42763,0.45048,0.26491,1.47672,1.3171,1.81696,0.000841835,0.000841835,0.000841835
27,324.667,1.21684,1.24702,1.55894,0.38015,0.48498,0.46101,0.24011,1.56812,1.38424,1.8811,0.000808828,0.000808828,0.000808828
28,336.135,1.16203,1.21964,1.52487,0.5819,0.41118,0.46623,0.26902,1.45752,1.35232,1.78856,0.000775822,0.000775822,0.000775822
29,348.899,1.18427,1.25469,1.52359,0.41903,0.50329,0.46305,0.26579,1.56343,1.31406,1.91881,0.000742815,0.000742815,0.000742815
30,359.869,1.16068,1.18041,1.52139,0.90495,0.36438,0.4368,0.25386,1.46955,1.3418,1.79776,0.000709809,0.000709809,0.000709809
31,369.757,1.16189,1.18506,1.51144,0.41421,0.50028,0.44655,0.26085,1.50256,1.344,1.84697,0.000676802,0.000676802,0.000676802
32,382.035,1.15277,1.15524,1.51771,0.53443,0.41498,0.4501,0.26616,1.49561,1.38739,1.83645,0.000643795,0.000643795,0.000643795
33,394.025,1.15003,1.1671,1.51485,0.44858,0.50249,0.48639,0.27824,1.49447,1.26167,1.83834,0.000610789,0.000610789,0.000610789
34,408.095,1.15414,1.17222,1.51455,0.44374,0.47697,0.48796,0.28664,1.40692,1.23103,1.75402,0.000577782,0.000577782,0.000577782
35,419.878,1.11951,1.15382,1.50074,0.45551,0.42741,0.47859,0.29164,1.44532,1.23284,1.78431,0.000544776,0.000544776,0.000544776
36,431.353,1.09732,1.09383,1.4805,0.44851,0.50658,0.49808,0.29145,1.40947,1.13796,1.76465,0.000511769,0.000511769,0.000511769
37,442.723,1.07525,1.08332,1.46647,0.52592,0.5,0.50037,0.29566,1.42276,1.17775,1.75857,0.000478762,0.000478762,0.000478762
38,454.464,1.09597,1.08836,1.47473,0.58146,0.42558,0.47202,0.27737,1.41121,1.24753,1.74511,0.000445756,0.000445756,0.000445756
39,466.815,1.07231,1.07884,1.45992,0.42078,0.61141,0.47592,0.2871,1.36955,1.24429,1.69865,0.000412749,0.000412749,0.000412749
40,477.333,1.08211,1.0889,1.46059,0.55087,0.42827,0.47953,0.28318,1.48823,1.2998,1.79191,0.000379743,0.000379743,0.000379743
41,492.399,0.99774,0.9458,1.48482,0.55886,0.4817,0.46881,0.26043,1.60691,1.31559,1.88733,0.000346736,0.000346736,0.000346736
42,502.344,0.96684,0.84747,1.48129,0.55263,0.47368,0.49059,0.30231,1.35662,1.18184,1.70056,0.000313729,0.000313729,0.000313729
43,514.544,0.94881,0.82071,1.4557,0.55948,0.48355,0.48651,0.29449,1.43091,1.10929,1.7637,0.000280723,0.000280723,0.000280723
44,525.675,0.91962,0.7627,1.43392,0.47958,0.56853,0.49401,0.3059,1.37583,1.12613,1.7114,0.000247716,0.000247716,0.000247716
45,535.738,0.90076,0.78827,1.41389,0.50952,0.52303,0.4976,0.313,1.35935,1.14749,1.688,0.00021471,0.00021471,0.00021471
46,550.619,0.88831,0.77051,1.40509,0.48298,0.58553,0.50946,0.31714,1.34338,1.17758,1.67727,0.000181703,0.000181703,0.000181703
47,561.254,0.89316,0.76074,1.40879,0.54934,0.50658,0.5068,0.30962,1.311,1.18618,1.65986,0.000148696,0.000148696,0.000148696
48,572.517,0.86503,0.73157,1.36645,0.50796,0.51974,0.50795,0.30985,1.33417,1.1737,1.67074,0.00011569,0.00011569,0.00011569
49,584.02,0.86419,0.73446,1.37839,0.58428,0.47697,0.49555,0.307,1.32596,1.16812,1.65991,8.26832e-05,8.26832e-05,8.26832e-05
50,595.532,0.83646,0.72209,1.33682,0.56102,0.50393,0.49922,0.30244,1.33598,1.1771,1.67324,4.96766e-05,4.96766e-05,4.96766e-05
